Bin_ID	Adherence	Antimicrobial Activity/Competitive Advantage	Biofilm	Effector Delivery System	Exoenzyme	Exotoxin	Immune Modulation	Invasion	Motility	Nutritional/Metabolic Factor	Others	Post-Translational Modification	Regulation	Stress Survival	Total_VFs
binning_output.090	1	0	0	0	0	0	1	0	1	0	0	0	0	1	4
binning_output.091	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
binning_output.092	3	1	0	1	0	0	7	0	0	5	0	0	0	0	17
binning_output.093	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1
binning_output.094	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3
binning_output.095	1	0	0	2	0	1	0	0	1	2	1	0	0	1	9
binning_output.096	4	0	2	0	0	0	2	0	0	1	0	0	0	0	9
binning_output.097	0	0	0	1	0	0	2	0	0	1	0	0	0	0	4
binning_output.098	0	0	0	2	0	0	4	0	1	3	0	0	1	1	12
binning_output.099	0	0	0	0	0	0	2	0	0	1	0	0	0	0	3
binning_output.100	2	0	0	3	0	0	4	1	0	4	0	0	0	0	14
binning_output.101	4	0	2	2	0	1	2	1	7	6	1	0	1	1	28
binning_output.102	2	0	0	3	0	0	7	0	6	3	0	0	0	2	23
binning_output.104	3	0	0	2	0	0	2	1	1	3	0	0	0	0	12
binning_output.105	2	0	0	1	0	1	0	0	1	5	0	0	0	1	11
binning_output.106	1	1	0	4	0	0	1	0	2	4	0	0	0	1	14
binning_output.107	2	0	1	2	1	0	10	0	2	6	0	0	1	2	27
binning_output.108	3	1	1	1	0	1	6	1	0	0	0	0	0	1	15
binning_output.109	3	0	0	0	0	0	1	0	0	0	0	0	0	0	4
binning_output.110	0	0	0	0	0	0	1	0	1	2	0	0	0	0	4
binning_output.111	3	0	0	3	1	1	12	0	0	8	0	0	1	2	31
binning_output.112	3	0	0	0	0	0	3	0	0	2	0	0	0	2	10
binning_output.113	3	1	1	2	0	1	7	0	1	10	1	0	2	2	31
binning_output.114	3	0	0	2	1	2	8	0	2	7	1	0	0	1	27
binning_output.115	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
binning_output.116	2	0	1	0	0	0	5	0	0	3	0	0	0	1	12
binning_output.117	0	0	0	4	0	2	0	0	3	2	0	0	0	0	11
binning_output.118	1	0	0	0	0	0	1	0	0	2	0	0	0	0	4
binning_output.119	2	0	0	1	0	0	4	0	0	3	0	0	0	1	11
binning_output.120	9	7	2	2	0	0	12	1	6	15	0	0	4	1	59
binning_output.121	1	0	1	0	0	0	4	0	4	4	0	1	1	0	16
binning_output.122	7	3	1	7	1	2	14	0	12	11	0	1	2	0	61
binning_output.123	4	1	1	8	0	0	14	2	4	9	1	1	0	2	47
binning_output.124	4	0	1	6	0	1	7	0	1	13	0	0	2	1	36
binning_output.125	1	0	3	2	0	1	10	0	0	3	0	0	0	1	21
binning_output.126	1	2	1	1	0	1	7	0	0	2	0	0	0	0	15
binning_output.127	3	1	0	4	0	0	1	1	1	3	1	0	0	0	15
binning_output.128	6	2	6	6	0	1	4	0	5	3	0	0	1	2	36
binning_output.129	9	3	1	18	0	0	16	0	7	10	1	0	2	2	69
binning_output.130	5	0	0	1	1	0	1	0	0	5	0	0	1	1	15
binning_output.131	1	0	2	0	0	2	9	0	7	2	0	1	6	3	33
binning_output.132	4	0	0	0	0	0	2	0	0	0	0	0	0	0	6
binning_output.133	3	3	3	3	2	1	12	0	17	9	0	0	1	2	56
binning_output.134	1	1	0	0	0	0	9	0	2	4	2	0	2	0	21
binning_output.135	6	0	1	4	0	0	0	0	1	5	0	0	0	0	17
binning_output.136	0	0	0	1	0	0	4	0	1	5	0	0	0	0	11
binning_output.137	2	0	0	0	1	0	1	0	1	4	0	0	1	0	10
binning_output.138	0	0	0	0	1	0	2	0	1	0	0	0	0	0	4
binning_output.139	3	1	1	1	0	1	1	1	3	5	0	0	0	0	17
binning_output.140	9	0	0	0	0	0	2	0	1	1	1	0	0	2	16
binning_output.141	6	1	0	2	0	0	1	0	0	3	0	0	0	0	13
binning_output.142	1	0	1	1	0	0	4	0	0	2	0	0	0	0	9
binning_output.143	7	0	0	0	0	1	1	0	6	2	0	0	0	0	17
binning_output.144	3	0	0	0	0	0	0	0	2	0	1	0	0	1	7
binning_output.145	14	3	0	5	0	2	8	1	5	13	0	0	3	9	63
binning_output.146	1	0	0	1	0	0	10	1	2	0	0	1	0	0	16
binning_output.147	3	0	2	3	0	1	19	0	4	2	0	0	0	2	36
binning_output.148	5	2	4	10	0	2	11	0	11	18	0	0	7	1	71
binning_output.149	2	1	0	1	0	1	3	0	1	1	0	0	0	0	10
binning_output.150	1	3	0	5	1	0	2	0	2	4	0	0	0	3	21
binning_output.151	2	0	1	4	0	0	10	0	1	17	0	0	1	1	37
binning_output.152	0	0	0	1	1	0	4	0	0	1	0	0	0	0	7
binning_output.153	16	4	3	7	2	1	18	0	10	13	3	0	2	1	80
binning_output.154	4	0	2	5	0	1	23	0	1	3	0	0	0	0	39
binning_output.155	0	0	0	3	0	0	3	0	0	7	0	0	0	1	14
binning_output.156	1	1	0	2	0	1	3	0	4	3	0	0	0	0	15
binning_output.157	3	0	0	2	0	1	4	0	3	1	0	0	0	0	14
binning_output.158	2	0	1	2	0	2	8	0	0	6	1	0	2	0	24
binning_output.159	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2
binning_output.160	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2
binning_output.161	2	0	0	3	0	1	3	0	0	1	0	0	0	1	11
binning_output.162	4	0	0	0	0	0	0	0	0	1	0	0	0	0	5
binning_output.163	20	1	5	3	0	0	8	0	7	6	2	0	0	1	53
binning_output.164	0	0	0	0	0	0	1	0	1	2	0	0	0	0	4
binning_output.165	2	0	2	0	0	2	5	0	1	2	0	0	0	0	14
binning_output.166	2	0	0	0	0	0	2	0	1	0	0	0	0	0	5
binning_output.167	10	3	2	10	1	0	15	0	4	16	1	1	2	0	65
binning_output.168	2	0	0	1	0	0	4	0	1	1	0	0	0	0	9
binning_output.169	0	0	2	1	0	1	17	0	1	9	1	1	2	3	38
binning_output.170	0	0	0	1	0	0	1	0	0	3	0	0	0	0	5
binning_output.171	13	1	0	11	0	2	42	1	0	8	0	0	2	0	80
binning_output.172	3	1	0	1	1	0	5	0	1	4	0	0	1	1	18
binning_output.173	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2
binning_output.174	1	0	0	2	0	0	1	0	1	5	0	0	0	2	12
binning_output.175	13	0	1	3	0	2	11	0	8	9	2	0	0	1	50
binning_output.176	2	0	0	2	0	0	4	0	1	4	0	0	1	0	14
binning_output.177	1	0	1	1	0	0	6	0	3	3	0	0	1	0	16
binning_output.178	2	0	0	0	0	0	3	0	1	2	0	0	0	4	12
binning_output.179	1	0	0	1	0	0	10	0	0	1	0	0	0	0	13
binning_output.180	11	2	1	4	0	1	16	0	2	6	1	0	1	1	46
binning_output.181	5	1	1	2	0	0	5	0	2	4	0	0	0	0	20
binning_output.182	3	0	0	3	1	0	3	0	0	1	0	0	2	1	14
binning_output.183	10	3	5	9	0	0	10	0	1	11	0	0	4	0	53
binning_output.184	5	4	5	2	0	1	13	0	17	14	0	1	3	3	68
binning_output.185	2	0	1	2	0	0	10	0	1	9	0	0	0	1	26
binning_output.186	23	2	11	7	0	2	16	1	30	19	0	0	6	2	119
binning_output.187	2	0	0	2	1	1	13	0	0	9	0	0	1	0	29
binning_output.188	4	0	0	1	0	0	2	0	2	3	0	0	0	1	13
binning_output.189	3	1	1	4	0	0	5	0	4	4	0	0	2	0	24
binning_output.190	2	0	2	1	0	0	7	0	1	4	0	0	0	0	17
binning_output.191	1	0	0	1	0	0	0	1	0	1	0	0	0	1	5
binning_output.192	10	7	0	1	0	0	2	0	5	9	0	0	0	0	34
binning_output.193	0	0	1	0	0	0	5	0	0	2	0	0	0	0	8
binning_output.194	1	0	0	3	1	1	16	0	4	10	0	0	0	0	36
binning_output.195	4	0	2	2	0	0	5	0	2	3	0	0	0	2	20
binning_output.196	2	0	1	3	0	1	6	0	2	8	0	0	0	0	23
binning_output.197	1	0	0	4	0	1	4	0	3	4	0	0	0	1	18
binning_output.198	7	0	0	1	0	1	5	0	0	0	0	0	0	1	15
binning_output.199	0	0	0	0	1	1	6	0	0	4	0	0	0	0	12
binning_output.200	4	0	0	0	1	0	0	0	0	5	0	0	0	0	10
binning_output.201	5	0	0	0	0	0	0	0	0	2	0	0	0	0	7
binning_output.202	0	0	0	0	0	0	1	0	2	0	0	1	0	0	4
binning_output.203	8	1	3	16	0	1	22	0	3	3	0	0	1	0	58
binning_output.204	4	0	1	2	0	3	6	0	0	2	0	0	0	0	18
binning_output.205	3	0	0	0	0	0	3	0	0	3	0	0	0	1	10
binning_output.206	4	0	1	1	0	0	8	0	0	5	0	0	0	3	22
binning_output.207	32	1	4	2	1	0	15	0	16	5	0	0	2	3	81
binning_output.208	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3
binning_output.209	2	0	0	2	0	0	0	0	1	1	0	0	0	0	6
binning_output.210	6	0	3	8	0	2	10	0	10	6	0	0	4	1	50
binning_output.211	1	1	0	0	0	0	1	0	0	1	0	0	0	0	4
binning_output.212	2	0	0	2	0	0	1	0	0	1	0	0	0	0	6
binning_output.213	0	1	0	2	0	1	9	0	0	2	0	0	1	0	16
binning_output.214	4	0	0	6	0	0	5	0	4	5	0	0	1	2	27
binning_output.215	1	0	0	0	0	0	2	0	2	3	0	0	0	0	8
binning_output.216	5	2	0	0	0	0	0	0	0	3	0	0	0	1	11
binning_output.217	5	0	0	4	0	0	7	1	4	12	0	0	2	2	37
binning_output.218	1	0	1	1	0	0	2	0	4	5	2	0	1	0	17
binning_output.219	0	0	0	1	0	1	8	0	0	3	0	0	0	0	13
binning_output.220	1	0	0	0	0	0	1	0	1	1	0	0	0	0	4
binning_output.221	4	1	1	4	0	1	10	0	6	11	1	0	2	5	46
binning_output.222	11	1	0	6	1	3	13	0	6	18	1	0	0	5	65
binning_output.223	3	0	0	0	0	0	0	0	1	2	1	0	0	2	9
binning_output.224	1	1	1	6	0	1	8	0	1	2	1	0	0	0	22
binning_output.225	4	1	1	4	0	2	5	0	2	5	1	0	2	1	28
binning_output.226	0	0	0	3	0	0	6	0	0	3	1	0	0	2	15
binning_output.227	5	0	0	2	0	1	1	0	6	1	0	0	0	0	16
binning_output.228	0	0	0	2	2	0	1	0	0	1	1	0	0	1	8
binning_output.229	1	0	0	4	1	1	1	0	2	1	0	0	2	0	13
binning_output.230	11	1	0	4	0	4	15	0	4	12	1	1	2	1	56
binning_output.231	6	1	1	4	0	0	10	0	18	5	0	0	3	0	48
binning_output.232	3	2	0	4	0	2	6	0	5	12	0	0	2	1	37
binning_output.233	1	0	1	0	0	0	4	0	0	5	0	0	0	0	11
binning_output.234	1	1	1	1	0	0	2	0	1	5	0	0	0	0	12
binning_output.235	4	0	1	3	1	1	9	0	14	10	0	0	1	0	44
binning_output.236	2	0	0	1	0	0	1	0	0	0	0	0	0	1	5
binning_output.237	2	0	0	0	0	0	1	0	0	0	0	0	0	0	3
binning_output.238	10	0	0	0	0	1	2	0	2	2	0	0	0	0	17
binning_output.239	6	0	1	3	0	1	2	0	5	0	0	0	2	1	21
binning_output.240	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
binning_output.241	2	1	6	5	0	0	6	0	8	9	0	0	0	1	38
binning_output.242	7	0	1	3	1	0	13	0	9	7	0	1	2	2	46
binning_output.243	1	0	0	1	0	0	1	0	0	1	0	0	0	0	4
binning_output.244	10	6	6	10	0	0	12	1	19	21	0	0	3	1	89
binning_output.245	6	0	0	3	0	1	10	0	13	8	0	0	0	0	41
binning_output.246	24	2	1	18	3	6	10	0	35	12	0	0	6	2	119
binning_output.247	4	2	3	5	0	0	3	0	4	6	0	0	2	1	30
binning_output.248	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
binning_output.249	4	0	0	5	0	0	8	0	3	13	0	0	1	2	36
binning_output.250	1	0	0	3	0	1	1	0	1	1	0	0	0	0	8
binning_output.251	1	1	0	2	0	0	2	0	0	1	0	0	2	3	12
binning_output.252	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
binning_output.253	2	0	0	1	0	0	0	0	1	0	0	0	0	0	4
binning_output.254	1	0	1	2	0	0	3	0	0	2	0	0	0	1	10
binning_output.255	3	0	0	0	0	0	4	0	1	2	0	0	1	3	14
binning_output.256	3	0	1	2	0	0	7	0	3	4	0	0	1	0	21
binning_output.257	7	1	0	6	0	1	15	0	2	6	0	1	1	0	40
binning_output.258	4	0	0	2	0	1	1	0	1	0	0	0	0	0	9
binning_output.259	3	0	0	0	0	0	5	0	1	1	0	0	0	0	10
binning_output.260	5	0	0	1	0	1	2	0	1	2	0	0	1	2	15
binning_output.261	3	0	1	2	0	0	8	0	7	8	0	0	3	2	34
binning_output.262	1	1	0	2	2	0	5	0	0	4	1	0	1	1	18
binning_output.263	2	0	1	3	1	1	7	0	1	5	0	0	0	1	22
binning_output.264	1	0	1	0	0	0	0	0	1	0	0	1	0	0	4
binning_output.265	3	0	1	5	0	2	9	0	1	4	1	0	3	1	30
binning_output.266	10	1	4	8	2	1	9	0	8	10	0	0	2	2	57
binning_output.267	1	0	0	0	0	0	2	0	0	2	0	0	1	1	7
binning_output.269	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
binning_output.270	1	0	0	2	0	1	2	0	0	2	0	0	0	0	8
binning_output.271	0	0	0	1	0	2	0	0	6	11	0	0	3	1	24
binning_output.272	3	0	0	3	1	2	5	0	2	10	0	0	2	1	29
binning_output.273	6	0	0	3	0	0	5	0	2	1	0	0	1	2	20
binning_output.274	2	0	0	2	0	0	7	0	3	6	0	0	0	1	21
binning_output.275	8	1	0	4	0	0	13	0	1	5	0	0	1	2	35
binning_output.276	4	0	0	4	0	0	5	0	3	5	0	0	1	1	23
binning_output.277	1	0	1	1	0	1	1	0	0	2	0	0	0	0	7
binning_output.278	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2
binning_output.279	2	1	1	1	0	0	5	2	1	4	0	0	1	1	19
binning_output.280	2	0	0	0	0	0	3	0	3	1	0	0	0	1	10
binning_output.281	2	0	1	3	0	3	1	0	2	8	0	0	0	1	21
binning_output.282	2	0	0	0	0	0	0	0	1	0	0	0	1	0	4
binning_output.283	3	0	0	4	0	1	5	0	0	3	0	0	0	0	16
binning_output.284	4	0	0	2	0	0	9	0	3	3	2	0	1	2	26
binning_output.285	3	0	1	1	0	1	2	0	3	11	0	0	0	1	23
binning_output.286	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
binning_output.287	2	0	0	2	0	0	1	0	2	3	0	0	0	0	10
binning_output.288	1	0	0	1	0	0	2	0	2	1	0	0	1	1	9
binning_output.289	1	0	1	1	0	0	3	0	4	5	0	0	1	1	17
binning_output.290	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3
binning_output.291	1	0	0	4	0	1	0	0	1	1	0	0	0	1	9
binning_output.292	0	0	0	2	0	1	0	0	2	3	0	0	0	0	8
binning_output.293	3	1	3	1	0	0	2	0	4	8	0	0	0	0	22
binning_output.294	0	0	0	0	0	0	2	0	0	1	0	0	0	0	3
binning_output.295	3	0	0	0	0	1	0	0	1	0	0	0	0	0	5
binning_output.296	1	0	1	1	1	0	1	0	1	1	0	0	0	0	7
binning_output.297	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3
binning_output.298	1	0	0	0	0	0	2	0	2	1	0	0	0	0	6
binning_output.299	0	0	0	2	0	0	1	0	0	4	0	0	0	0	7
binning_output.300	0	0	0	0	0	0	3	0	0	1	0	0	0	0	4
binning_output.301	0	0	0	1	0	0	2	0	1	0	0	0	0	0	4
binning_output.302	0	0	0	1	0	0	7	0	0	2	0	0	0	2	12
binning_output.303	0	0	0	1	0	0	2	0	0	1	0	0	0	0	4
binning_output.304	0	0	0	3	0	0	0	0	0	1	0	0	0	0	4
binning_output.305	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2
binning_output.306	1	0	0	1	0	0	1	0	1	1	1	0	0	0	6
binning_output.307	0	0	0	0	0	1	0	0	0	1	0	0	1	0	3
binning_output.308	0	0	0	2	0	0	1	0	0	1	1	0	0	0	5
binning_output.309	2	0	0	0	1	0	0	0	0	0	0	0	0	2	5
binning_output.310	12	2	3	1	0	0	8	0	6	7	0	0	2	1	42
binning_output.311	0	0	0	7	0	0	2	0	0	1	1	0	0	0	11
binning_output.312	3	1	2	2	0	0	1	0	1	4	0	0	0	1	15
binning_output.313	1	1	0	1	0	0	2	1	4	3	0	1	0	0	14
binning_output.314	2	0	0	1	0	0	11	0	5	3	1	0	1	0	24
binning_output.315	1	0	1	3	0	0	1	0	1	1	0	0	0	0	8
