Query_ID	CARD_Protein_Accession	CARD_Protein_Description	NCBI_Nucleotide_ID	CDS_Name	Locus_Tag	CDS_ID
k141_2768700_2 # 249 # 329 # 1 # ID=3651_2;partial=01;start_type=GTG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.691	AAD04032.1	gb|AAD04032.1|otr(B) [Streptomyces rimosus]	AF079900.1	otrB	NA	AAD04032.1
k141_446704_1 # 2 # 553 # -1 # ID=3823_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.312	WP_323056190.1	gb|WP_323056190.1|VRA-F [Staphylococcus aureus]	NZ_JAYEPU010000001.1	vraF	U9J26_RS00155	WP_323056190.1
k141_1786321_1 # 3 # 65 # -1 # ID=3910_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.302	AAL75563.1	gb|AAL75563.1|tet(D) [Shigella flexneri Y]	AF467077.1	tetA	NA	AAL75563.1
k141_982503_1 # 1 # 132 # -1 # ID=3960_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.606	BAA34300.1	gb|BAA34300.1|mexY [Pseudomonas aeruginosa PAO1]	AB015853.1	mexY	NA	BAA34300.1
k141_178790_2 # 111 # 311 # 1 # ID=4025_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.264	ACJ63262.1	gb|ACJ63262.1|mef(B) [Escherichia coli]	FJ196385.1	mef(B)	NA	ACJ63262.1
k141_3125955_2 # 743 # 811 # 1 # ID=4195_2;partial=01;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.261	AAG05882.1	gb|AAG05882.1|MexF [Pseudomonas aeruginosa PAO1]	AE004091.2	mexF	PA2494	AAG05882.1
k141_625342_1 # 297 # 443 # 1 # ID=4452_1;partial=01;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.469	AAD51345.1	gb|AAD51345.1|smeB [Stenotrophomonas maltophilia]	AF173226.1	smeB	NA	AAD51345.1
k141_268065_1 # 1 # 99 # -1 # ID=4654_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.505	CAA42594.1	gb|CAA42594.1|Streptomyces lividans cmlR [Streptomyces lividans 1326]	X59968.1	cml	NA	CAA42594.1
k141_268082_1 # 1 # 99 # -1 # ID=5022_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.505	CAA42594.1	gb|CAA42594.1|Streptomyces lividans cmlR [Streptomyces lividans 1326]	X59968.1	cml	NA	CAA42594.1
k141_1518441_1 # 1 # 282 # -1 # ID=5091_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.418	VWQ04088.1	gb|VWQ04088.1|mlaF [Escherichia coli]	LR730402.1	mlaF	ECOLIKI683_04083	VWQ04088.1
k141_1429129_1 # 2 # 190 # -1 # ID=5102_1;partial=10;start_type=ATG;rbs_motif=TAAAA;rbs_spacer=12bp;gc_cont=0.429	ACJ59254.1	gb|ACJ59254.1|abeS [Acinetobacter baumannii AB307-0294]	NA	NA	NA	NA
k141_2858008_1 # 1 # 207 # -1 # ID=5120_1;partial=10;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.275	AAD08227.1	gb|AAD08227.1|hp1181 [Helicobacter pylori 26695]	AE000511.1	NA	HP_1181	AAD08227.1
k141_178851_2 # 580 # 648 # 1 # ID=5446_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.580	KIX81495.1	gb|KIX81495.1|lmrB [Bacillus subtilis]	JYFL01000006.1	lmrB	TV00_02893	KIX81495.1
k141_1875659_1 # 2 # 283 # 1 # ID=5661_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.496	AFH35853.1	gb|AFH35853.1|Escherichia coli mdfA [Escherichia coli]	JQ394987.1	mdfA	NA	AFH35853.1
k141_2232938_1 # 2 # 178 # -1 # ID=5667_1;partial=10;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.305	APB03219.1	gb|APB03219.1|TaeA [Paenibacillus sp. LC231]	KX531049.1	taeA	NA	APB03219.1
k141_1786399_1 # 2 # 607 # 1 # ID=5848_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.639	AAF67494.2	gb|AAF67494.2|novA [Streptomyces niveus]	AF170880.4	novA	NA	AAF67494.2
k141_1429163_1 # 2 # 301 # -1 # ID=5913_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.523	AAG07763.1	gb|AAG07763.1|MexW [Pseudomonas aeruginosa PAO1]	AE004091.2	NA	PA4375	AAG07763.1
k141_804032_1 # 1 # 294 # -1 # ID=6464_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.395	AAC74000.1	gb|AAC74000.1|msbA [Escherichia coli str. K-12 substr. MG1655]	U00096.3	msbA	b0914	AAC74000.1
k141_2947466_1 # 2 # 67 # -1 # ID=6530_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.303	AYV52072.1	gb|AYV52072.1|lmrD [Lactococcus lactis]	CP033607.1	NA	EFV54_01690	AYV52072.1
k141_1786406_1 # 1 # 405 # 1 # ID=6675_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.669	AAX14802.1	gb|AAX14802.1|adeJ [Acinetobacter baumannii]	AY769962.1	adeJ	NA	AAX14802.1
k141_982606_1 # 2 # 331 # -1 # ID=6751_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.455	AIA35096.1	gb|AIA35096.1|LptD [Klebsiella pneumoniae subsp. pneumoniae KPNIH10]	CP007727.1	NA	KPNIH10_03875	AIA35096.1
k141_1786416_1 # 1 # 141 # -1 # ID=6911_1;partial=10;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.738	CAL30186.1	gb|CAL30186.1|cmlB1 [Bordetella bronchiseptica]	AM296481.1	cmlB1	NA	CAL30186.1
k141_446821_1 # 2 # 793 # -1 # ID=6979_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.302	AAF67494.2	gb|AAF67494.2|novA [Streptomyces niveus]	AF170880.4	novA	NA	AAF67494.2
k141_178919_1 # 1 # 120 # -1 # ID=7079_1;partial=10;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.592	AAA22851.1	gb|AAA22851.1|tet(L) [Geobacillus stearothermophilus]	M11036.1	NA	NA	AAA22851.1
k141_2411634_1 # 3 # 251 # -1 # ID=7083_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.422	AAG05915.1	gb|AAG05915.1|MuxB [Pseudomonas aeruginosa PAO1]	AE004091.2	NA	PA2527	AAG05915.1
k141_982641_1 # 3 # 323 # 1 # ID=7352_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.361	AAG07064.1	gb|AAG07064.1|MexK [Pseudomonas aeruginosa PAO1]	AE004091.2	NA	PA3676	AAG07064.1
k141_2322321_2 # 350 # 421 # 1 # ID=7455_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.292	AAA74437.1	gb|AAA74437.1|MexB [Pseudomonas aeruginosa]	L11616.1	mexB	NA	AAA74437.1
k141_2054320_1 # 1 # 387 # 1 # ID=7477_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.628	AAL14440.1	gb|AAL14440.1|adeB [Acinetobacter baumannii]	AF370885.1	adeB	NA	AAL14440.1
k141_1161199_1 # 2 # 616 # -1 # ID=7511_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.515	AAL14440.1	gb|AAL14440.1|adeB [Acinetobacter baumannii]	AF370885.1	adeB	NA	AAL14440.1
k141_1071946_1 # 2 # 307 # -1 # ID=7577_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.729	AAG06465.1	gb|AAG06465.1|cprR [Pseudomonas aeruginosa PAO1]	AE004091.2	NA	PA3077	AAG06465.1
k141_89621_1 # 3 # 404 # 1 # ID=7580_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.460	AAG07594.1	gb|AAG07594.1|MexI [Pseudomonas aeruginosa PAO1]	AE004091.2	mexI	PA4207	AAG07594.1
k141_1161203_2 # 231 # 356 # 1 # ID=7592_2;partial=01;start_type=ATG;rbs_motif=TAA;rbs_spacer=3bp;gc_cont=0.357	AAX14802.1	gb|AAX14802.1|adeJ [Acinetobacter baumannii]	AY769962.1	adeJ	NA	AAX14802.1
k141_268202_2 # 355 # 417 # 1 # ID=7716_2;partial=01;start_type=GTG;rbs_motif=AAAAAA;rbs_spacer=14bp;gc_cont=0.429	ALX99516.1	gb|ALX99516.1|adeC [Acinetobacter baumannii]	CP013924.1	NA	KBNAB1_1977	ALX99516.1
k141_3036786_2 # 285 # 449 # 1 # ID=8594_2;partial=01;start_type=GTG;rbs_motif=AATAA;rbs_spacer=13bp;gc_cont=0.485	AAG08162.1	gb|AAG08162.1|basR [Pseudomonas aeruginosa PAO1]	AE004091.2	pmrA	PA4776	AAG08162.1
k141_982695_2 # 636 # 800 # 1 # ID=8870_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.685	AAG03816.1	gb|AAG03816.1|OprM [Pseudomonas aeruginosa PAO1]	AE004091.2	oprM	PA0427	AAG03816.1
k141_893433_2 # 224 # 361 # 1 # ID=8983_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.630	WP_323056190.1	gb|WP_323056190.1|VRA-F [Staphylococcus aureus]	NZ_JAYEPU010000001.1	vraF	U9J26_RS00155	WP_323056190.1
k141_3036798_2 # 294 # 458 # 1 # ID=8984_2;partial=01;start_type=GTG;rbs_motif=TTA;rbs_spacer=13bp;gc_cont=0.473	AAG08162.1	gb|AAG08162.1|basR [Pseudomonas aeruginosa PAO1]	AE004091.2	pmrA	PA4776	AAG08162.1
k141_625514_1 # 1 # 315 # 1 # ID=9334_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.708	ADZ12699.1	gb|ADZ12699.1|RanA [Riemerella anatipestifer RA-GD]	CP002562.1	NA	RIA_1613	ADZ12699.1
k141_2143653_1 # 3 # 119 # -1 # ID=9590_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.359	ANZ79240.1	gb|ANZ79240.1|tetA(60) [uncultured bacterium]	KX000272.1	tetA(60)	NA	ANZ79240.1
k141_1518559_2 # 388 # 447 # 1 # ID=9780_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.450	AAC75136.1	gb|AAC75136.1|mdtB [Escherichia coli str. K-12 substr. MG1655]	U00096.3	mdtB	b2075	AAC75136.1
k141_2233087_1 # 2 # 601 # -1 # ID=10128_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.502	APB03219.1	gb|APB03219.1|TaeA [Paenibacillus sp. LC231]	KX531049.1	taeA	NA	APB03219.1
k141_2768955_1 # 3 # 1073 # 1 # ID=10439_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.438	AAC75137.1	gb|AAC75137.1|mdtC [Escherichia coli str. K-12 substr. MG1655]	U00096.3	mdtC	b2076	AAC75137.1
k141_2768959_1 # 2 # 229 # -1 # ID=10506_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.632	AAD08227.1	gb|AAD08227.1|hp1181 [Helicobacter pylori 26695]	AE000511.1	NA	HP_1181	AAD08227.1
k141_1429382_1 # 1 # 297 # -1 # ID=10507_1;partial=10;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.468	AAA99504.1	gb|AAA99504.1|bcrA [Bacillus licheniformis]	L20573.1	bcrA	NA	AAA99504.1
k141_268327_1 # 2 # 553 # 1 # ID=10641_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.607	AAC75135.2	gb|AAC75135.2|mdtA [Escherichia coli str. K-12 substr. MG1655]	U00096.3	mdtA	b2074	AAC75135.2
k141_422_1 # 1 # 600 # 1 # ID=10653_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.693	AAA99504.1	gb|AAA99504.1|bcrA [Bacillus licheniformis]	L20573.1	bcrA	NA	AAA99504.1
k141_2143721_1 # 1 # 411 # -1 # ID=10927_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.530	AAG06465.1	gb|AAG06465.1|cprR [Pseudomonas aeruginosa PAO1]	AE004091.2	NA	PA3077	AAG06465.1
k141_2590367_2 # 507 # 566 # 1 # ID=10998_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.350	AAF42062.1	gb|AAF42062.1|mtrD [Neisseria meningitidis MC58]	AE002098.2	mtrD	NMB1715	AAF42062.1
k141_89727_1 # 2 # 298 # 1 # ID=11193_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.495	BAD89844.2	gb|BAD89844.2|abeM [Acinetobacter baumannii]	AB204810.2	abeM	NA	BAD89844.2
k141_89735_1 # 265 # 366 # 1 # ID=11317_1;partial=01;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.343	CAD70268.1	gb|CAD70268.1|fexA [Mammaliicoccus lentus]	AJ549214.1	fexA	NA	CAD70268.1
k141_1072081_1 # 1 # 63 # -1 # ID=11516_1;partial=10;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.286	AAG07064.1	gb|AAG07064.1|MexK [Pseudomonas aeruginosa PAO1]	AE004091.2	NA	PA3676	AAG07064.1
k141_2233138_2 # 269 # 364 # 1 # ID=11528_2;partial=01;start_type=GTG;rbs_motif=TAA;rbs_spacer=4bp;gc_cont=0.167	WP_042355600.1	gb|WP_042355600.1|sepA [Staphylococcus]	NZ_JBQVSJ010000004.1	sepA	ACUVK5_RS09100	WP_042355600.1
k141_1965231_1 # 3 # 314 # -1 # ID=11549_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.612	AAC75137.1	gb|AAC75137.1|mdtC [Escherichia coli str. K-12 substr. MG1655]	U00096.3	mdtC	b2076	AAC75137.1
k141_89741_1 # 1 # 465 # -1 # ID=11579_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.488	AAV85982.1	gb|AAV85982.1|macB [Neisseria gonorrhoeae]	AY768532.1	macB	NA	AAV85982.1
k141_1965233_1 # 3 # 65 # -1 # ID=11580_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.603	QNR09091.1	gb|QNR09091.1|mef(F) [Macrococcus canis]	CP046364.1	mef(F)	GL258_12455	QNR09091.1
k141_470_1 # 2 # 538 # -1 # ID=11741_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.399	WP_323056190.1	gb|WP_323056190.1|VRA-F [Staphylococcus aureus]	NZ_JAYEPU010000001.1	vraF	U9J26_RS00155	WP_323056190.1
k141_89749_1 # 1 # 162 # -1 # ID=11778_1;partial=10;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.537	AAB41957.1	gb|AAB41957.1|MexD [Pseudomonas aeruginosa]	U57969.1	mexD	NA	AAB41957.1
k141_1250718_1 # 3 # 248 # 1 # ID=11792_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.252	ABS43901.1	gb|ABS43901.1|cmeA [Campylobacter jejuni subsp. doylei 269.97]	CP000768.1	cmeA	JJD26997_1590	ABS43901.1
k141_3126289_1 # 1 # 102 # -1 # ID=11898_1;partial=10;start_type=GTG;rbs_motif=TTGTT;rbs_spacer=11bp;gc_cont=0.569	BAE06009.1	gb|BAE06009.1|opmE [Pseudomonas aeruginosa]	AB219524.1	opmE	NA	BAE06009.1
k141_2322475_1 # 2 # 100 # -1 # ID=12287_1;partial=10;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.657	AAG04750.1	gb|AAG04750.1|PmpM [Pseudomonas aeruginosa PAO1]	AE004091.2	NA	PA1361	AAG04750.1
k141_2501124_1 # 3 # 437 # 1 # ID=12304_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.611	AAG05882.1	gb|AAG05882.1|MexF [Pseudomonas aeruginosa PAO1]	AE004091.2	mexF	PA2494	AAG05882.1
k141_1697289_1 # 1 # 441 # 1 # ID=12444_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.628	AAV85982.1	gb|AAV85982.1|macB [Neisseria gonorrhoeae]	AY768532.1	macB	NA	AAV85982.1
k141_89779_2 # 761 # 922 # 1 # ID=12542_2;partial=01;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.525	AAB41957.1	gb|AAB41957.1|MexD [Pseudomonas aeruginosa]	U57969.1	mexD	NA	AAB41957.1
k141_1339974_1 # 1 # 333 # -1 # ID=12750_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.622	ADZ12699.1	gb|ADZ12699.1|RanA [Riemerella anatipestifer RA-GD]	CP002562.1	NA	RIA_1613	ADZ12699.1
k141_536247_1 # 1 # 387 # 1 # ID=12880_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.478	AAG08162.1	gb|AAG08162.1|basR [Pseudomonas aeruginosa PAO1]	AE004091.2	pmrA	PA4776	AAG08162.1
k141_2054483_2 # 317 # 415 # 1 # ID=13013_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.626	AET10444.1	gb|AET10444.1|tetA(46) [Streptococcus australis]	HQ652506.1	steA	NA	AET10444.1
k141_2858325_1 # 255 # 314 # 1 # ID=13442_1;partial=01;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400	AAG03380.1	gb|AAG03380.1|cmx [Corynebacterium striatum]	AF024666.2	cmxB	NA	AAG03380.1
k141_1786685_1 # 2 # 337 # 1 # ID=13558_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.438	ABS43901.1	gb|ABS43901.1|cmeA [Campylobacter jejuni subsp. doylei 269.97]	CP000768.1	cmeA	JJD26997_1590	ABS43901.1
k141_2143841_1 # 1 # 471 # -1 # ID=13647_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.658	AAA99504.1	gb|AAA99504.1|bcrA [Bacillus licheniformis]	L20573.1	bcrA	NA	AAA99504.1
k141_2769090_1 # 1 # 315 # 1 # ID=13819_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.314	AAG07593.1	gb|AAG07593.1|MexH [Pseudomonas aeruginosa PAO1]	AE004091.2	mexH	PA4206	AAG07593.1
k141_2501191_2 # 327 # 428 # 1 # ID=13883_2;partial=01;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.471	CAD70268.1	gb|CAD70268.1|fexA [Mammaliicoccus lentus]	AJ549214.1	fexA	NA	CAD70268.1
k141_446954_1 # 266 # 424 # 1 # ID=13991_1;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.623	VWQ04088.1	gb|VWQ04088.1|mlaF [Escherichia coli]	LR730402.1	mlaF	ECOLIKI683_04083	VWQ04088.1
k141_2679777_1 # 2 # 346 # 1 # ID=14179_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.464	BAA11237.1	gb|BAA11237.1|emrY [Escherichia coli]	D78168.1	NA	NA	BAA11237.1
k141_1072161_1 # 1 # 234 # -1 # ID=14239_1;partial=10;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.487	WP_323056190.1	gb|WP_323056190.1|VRA-F [Staphylococcus aureus]	NZ_JAYEPU010000001.1	vraF	U9J26_RS00155	WP_323056190.1
k141_89818_1 # 3 # 509 # 1 # ID=14390_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.469	WP_323056190.1	gb|WP_323056190.1|VRA-F [Staphylococcus aureus]	NZ_JAYEPU010000001.1	vraF	U9J26_RS00155	WP_323056190.1
k141_2947817_2 # 444 # 626 # 1 # ID=14885_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.497	AAL19305.1	gb|AAL19305.1|mdsB [Salmonella enterica subsp. enterica serovar Typhimurium str. LT2]	AE006468.2	NA	STM0351	AAL19305.1
