user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
binning_output.013	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp019105125	GCA_019105125.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp019105125	96.1	0.628	GCA_019105125.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__Flavobacterium sp019105125	96.1	0.628	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_023634865.1, s__Flavobacterium sp023634865, 95.0, 91.37, 0.502; GCF_002422095.1, s__Flavobacterium sp002422095, 95.0, 89.2, 0.433; GCF_000686885.1, s__Flavobacterium sasangense, 95.0, 89.16, 0.436; GCF_937967675.1, s__Flavobacterium sp937967675, 95.0, 88.86, 0.393; GCF_003259835.1, s__Flavobacterium aquaticum, 95.0, 88.68, 0.435; GCF_015223105.1, s__Flavobacterium proteolyticum, 95.0, 88.44, 0.404; GCF_020217025.1, s__Flavobacterium sp020217025, 95.0, 88.29, 0.406; GCF_023151265.1, s__Flavobacterium sp023151265, 95.0, 88.22, 0.39; GCA_002421645.1, s__Flavobacterium sp002421645, 95.0, 87.84, 0.436; GCA_003963025.1, s__Flavobacterium sp003963025, 95.0, 87.75, 0.369; GCF_021172145.1, s__Flavobacterium cyclinae, 95.0, 86.89, 0.335; GCF_002483315.1, s__Flavobacterium sp002483315, 95.0, 86.83, 0.318; GCF_025499515.1, s__Flavobacterium sp025499515, 95.0, 86.65, 0.294; GCF_003497625.1, s__Flavobacterium sp003497625, 95.0, 86.62, 0.347; GCF_004363695.1, s__Flavobacterium cheniae, 95.0, 86.57, 0.343; GCF_900148835.1, s__Flavobacterium cucumis, 95.0, 86.54, 0.313; GCF_025909975.1, s__Flavobacterium lacisediminis, 95.0, 86.51, 0.34; GCF_009495755.1, s__Flavobacterium sp009495755, 95.0, 86.13, 0.286; GCF_021172165.1, s__Flavobacterium channae, 95.0, 85.79, 0.282; GCF_011392075.1, s__Flavobacterium celericrescens, 95.0, 85.74, 0.22; GCA_004293165.1, s__Flavobacterium sp004293165, 95.0, 85.31, 0.263; GCF_025947285.1, s__Flavobacterium sp025947285, 95.0, 85.11, 0.224; GCA_000169355.1, s__Flavobacterium sp000169355, 95.0, 84.27, 0.187	56.35	11	N/A	Genome has more than 13.3% of markers with multiple hits
binning_output.014	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Marinobacterium_E;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Marinobacterium_E;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_013283365.1, s__Marinobacterium_E sp013283365, 95.0, 85.94, 0.463; GCA_949499045.1, s__Marinobacterium_E sp949499045, 95.0, 85.19, 0.387; GCA_018623095.1, s__Marinobacterium_E sp018623095, 95.0, 83.78, 0.378	69.16	11	0.98675	Genome has more than 19.2% of markers with multiple hits
binning_output.015	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Leucobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Leucobacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	86.65	11	0.97313	N/A
binning_output.016	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Pseudothioglobus;s__Pseudothioglobus sp902509905	GCA_902509905.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Pseudothioglobus;s__Pseudothioglobus sp902509905	97.9	0.579	GCA_902509905.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Pseudothioglobus;s__Pseudothioglobus sp902509905	97.9	0.579	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PS1;f__Thioglobaceae;g__Pseudothioglobus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902556205.1, s__Pseudothioglobus sp002169705, 95.0, 88.14, 0.454; GCA_902511025.1, s__Pseudothioglobus sp902511025, 95.0, 86.91, 0.326; GCA_902510115.1, s__Pseudothioglobus sp902510115, 95.0, 86.89, 0.307; GCA_938086805.1, s__Pseudothioglobus sp938086805, 95.0, 86.85, 0.404; GCA_001628405.1, s__Pseudothioglobus sp001628405, 95.0, 83.09, 0.298; GCA_028345055.1, s__Pseudothioglobus sp028345055, 95.0, 82.36, 0.239; GCA_902512035.1, s__Pseudothioglobus sp902512035, 95.0, 80.94, 0.159	31.36	11	N/A	Genome has more than 19.2% of markers with multiple hits
binning_output.017	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	14.3	11	0.99199	N/A
binning_output.018	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Aquiluna;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Microbacteriaceae;g__Aquiluna;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	73.98	11	0.97834	Genome has more than 16.7% of markers with multiple hits
binning_output.019	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__GCA-2402025;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__GCA-2402025;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	83.46	11	0.73222	N/A
binning_output.020	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Actinomarina;s__	N/A	N/A	N/A	N/A	N/A	GCA_002169115.2	95.0	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Actinomarina;s__Actinomarina sp002169115	95.75	0.235	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Actinomarinales;f__Actinomarinaceae;g__Actinomarina;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_902510965.1, s__Actinomarina sp002683085, 95.0, 95.33, 0.234; GCA_014239265.1, s__Actinomarina sp014239265, 95.0, 94.08, 0.252; GCA_943840565.1, s__Actinomarina sp943840565, 95.0, 93.09, 0.192	39.66	11	0.9988	N/A
binning_output.021	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas denitrificans_A	GCF_017368815.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas denitrificans_A	97.83	0.675	GCF_017368815.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas denitrificans_A	97.83	0.675	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902175065.1, s__Comamonas sp902175065, 95.0, 86.53, 0.253; GCA_019104825.1, s__Comamonas sp019104825, 95.0, 85.14, 0.233	52.75	11	N/A	Genome has more than 17.5% of markers with multiple hits
binning_output.022	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SAR86;f__D2472;g__SCGC-AAA076-P13;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__SAR86;f__D2472;g__SCGC-AAA076-P13;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_943846785.1, s__SCGC-AAA076-P13 sp905478035, 95.0, 84.17, 0.337; GCA_000385055.1, s__SCGC-AAA076-P13 sp000385055, 95.0, 83.96, 0.245; GCA_018607365.1, s__SCGC-AAA076-P13 sp018607365, 95.0, 83.11, 0.249; GCA_000384935.1, s__SCGC-AAA076-P13 sp000384935, 95.0, 82.96, 0.234; GCA_943789005.1, s__SCGC-AAA076-P13 sp943789005, 95.0, 82.92, 0.24; GCA_943788515.1, s__SCGC-AAA076-P13 sp943788515, 95.0, 82.44, 0.201	49.89	11	0.94545	Genome has more than 19.2% of markers with multiple hits
binning_output.023	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_027531395.1, s__Erythrobacter sp027531395, 95.0, 89.14, 0.591; GCA_903934325.1, s__Erythrobacter sp903934325, 95.0, 86.81, 0.481; GCF_002155695.1, s__Erythrobacter tepidarius, 95.0, 86.32, 0.464; GCF_028621955.1, s__Erythrobacter sp028621955, 95.0, 86.03, 0.378; GCF_002155685.1, s__Erythrobacter colymbi, 95.0, 85.88, 0.35; GCA_023653115.1, s__Erythrobacter sp023653115, 95.0, 85.87, 0.492; GCF_030271515.1, s__Erythrobacter sp030271515, 95.0, 85.85, 0.364; GCF_028595285.1, s__Erythrobacter fulvus, 95.0, 85.68, 0.403; GCF_001677335.1, s__Erythrobacter dokdonensis, 95.0, 85.67, 0.395; GCF_006542605.1, s__Erythrobacter sp006542605, 95.0, 85.65, 0.359; GCA_016125555.1, s__Erythrobacter sp016125555, 95.0, 85.6, 0.368; GCF_002952215.1, s__Erythrobacter sp002952215, 95.0, 85.56, 0.332; GCF_001720465.1, s__Erythrobacter sp001720465, 95.0, 85.52, 0.385; GCF_002215495.1, s__Erythrobacter sp002215495, 95.0, 85.51, 0.367; GCF_002155425.1, s__Erythrobacter donghaensis, 95.0, 85.47, 0.347; GCA_945878845.1, s__Erythrobacter sanguineus_A, 95.0, 85.43, 0.344; GCA_019750455.1, s__Erythrobacter sp019750455, 95.0, 85.27, 0.322; GCF_001557325.1, s__Erythrobacter donghaensis_B, 95.0, 85.18, 0.296; GCF_000331285.1, s__Erythrobacter sp000331285, 95.0, 85.17, 0.34; GCF_001557115.1, s__Erythrobacter sp001557115, 95.0, 85.05, 0.304; GCF_023653175.1, s__Erythrobacter sp023653175, 95.0, 84.99, 0.295; GCA_013822695.1, s__Erythrobacter sp013822695, 95.0, 84.86, 0.301; GCF_025917005.1, s__Erythrobacter sp025917005, 95.0, 84.8, 0.319; GCA_003724185.1, s__Erythrobacter sp003724185, 95.0, 84.76, 0.319; GCF_009905735.1, s__Erythrobacter sp009905735, 95.0, 84.74, 0.322; GCF_024305245.1, s__Erythrobacter sp024305245, 95.0, 84.67, 0.307; GCA_027487015.1, s__Erythrobacter sp027487015, 95.0, 84.63, 0.261; GCA_027489065.1, s__Erythrobacter sp027489065, 95.0, 84.59, 0.278; GCF_009828055.1, s__Erythrobacter ramosus, 95.0, 84.5, 0.319; GCF_958304185.1, s__Erythrobacter sp958304185, 95.0, 84.42, 0.301; GCA_027486035.1, s__Erythrobacter sp027486035, 95.0, 84.39, 0.336; GCA_027533455.1, s__Erythrobacter sp027533455, 95.0, 84.38, 0.317; GCF_026586795.1, s__Erythrobacter sp026586795, 95.0, 84.31, 0.243; GCF_900143235.1, s__Erythrobacter sanguineus, 95.0, 84.25, 0.313; GCA_001556995.1, s__Erythrobacter sp001556995, 95.0, 84.1, 0.262; GCF_002855495.1, s__Erythrobacter sp002855495, 95.0, 83.99, 0.256; GCA_013911835.1, s__Erythrobacter sp013911835, 95.0, 83.94, 0.24; GCF_001663175.1, s__Erythrobacter neustonensis, 95.0, 83.7, 0.267; GCA_027489095.1, s__Erythrobacter sp027489095, 95.0, 83.62, 0.231; GCA_018991295.1, s__Erythrobacter sp018991295, 95.0, 83.6, 0.268; GCA_004292705.1, s__Erythrobacter sp004292705, 95.0, 83.51, 0.273; GCF_000422985.1, s__Erythrobacter cryptus, 95.0, 83.34, 0.272; GCA_002482865.1, s__Erythrobacter sp002482865, 95.0, 83.25, 0.243; GCF_001296025.1, s__Erythrobacter sp001296025, 95.0, 83.11, 0.242; GCA_001464915.1, s__Erythrobacter sp001464915, 95.0, 83.05, 0.246; GCA_009995225.1, s__Erythrobacter sp009995225, 95.0, 82.7, 0.199; GCA_002842735.1, s__Erythrobacter sp002842735, 95.0, 82.12, 0.191; GCA_002842925.1, s__Erythrobacter sp002842925, 95.0, 81.79, 0.175; GCA_018830415.1, s__Erythrobacter sp018830415, 95.0, 81.79, 0.161; GCA_013822025.1, s__Erythrobacter sp013822025, 95.0, 81.72, 0.205; GCA_030731635.1, s__Erythrobacter sp030731635, 95.0, 81.12, 0.155	72.12	11	0.99197	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
binning_output.024	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Opacimonas;s__Opacimonas sp000155775	GCF_000155775.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Opacimonas;s__Opacimonas sp000155775	98.82	0.786	GCF_000155775.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Opacimonas;s__Opacimonas sp000155775	98.82	0.786	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Opacimonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_949498985.1, s__Opacimonas sp949498985, 95.0, 82.22, 0.302	64.23	11	N/A	Genome has more than 32.5% of markers with multiple hits
binning_output.025	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__MAG-120531 sp024643325	GCA_024643325.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__MAG-120531 sp024643325	97.54	0.878	GCA_024643325.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__MAG-120531 sp024643325	97.54	0.878	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_937136755.1, s__MAG-120531 sp937136755, 95.0, 94.66, 0.834; GCA_029238555.1, s__MAG-120531 sp029238555, 95.0, 94.19, 0.844; GCA_018401115.1, s__MAG-120531 sp018401115, 95.0, 93.94, 0.724; GCA_905182295.1, s__MAG-120531 sp905182295, 95.0, 88.2, 0.674; GCA_000173115.1, s__MAG-120531 sp000173115, 95.0, 88.12, 0.618	30.57	11	N/A	Genome has more than 47.5% of markers with multiple hits
