Query_ID	CARD_Protein_Accession	CARD_Protein_Description	NCBI_Nucleotide_ID	CDS_Name	Locus_Tag	CDS_ID
k141_179708_1 # 3 # 128 # -1 # ID=29373_1;partial=10;start_type=GTG;rbs_motif=GGTG;rbs_spacer=7bp;gc_cont=0.619	AKQ05894.1	gb|AKQ05894.1|tet(50) [uncultured bacterium]	KR857684.1	tet(50)	NA	AKQ05894.1
k141_1251446_1 # 2 # 211 # -1 # ID=30309_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.462	CZX96154.1	gb|CZX96154.1|CMH-20 [Enterobacter cloacae]	FJYH01000022.1	ampC_2	SAMEA2273337_03505	CZX96154.1
k141_1251517_1 # 1 # 321 # 1 # ID=32258_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.449	AGW16415.1	gb|AGW16415.1|OXA-333 [Acinetobacter johnsonii]	KF203107.1	blaOXA-333	NA	AGW16415.1
k141_2501947_2 # 203 # 304 # 1 # ID=33175_2;partial=01;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.373	WP_063860248.1	gb|WP_063860248.1|EC-16 [Escherichia coli]	NG_049082.1	blaEC	A7J11_01615	WP_063860248.1
k141_1008_1 # 535 # 594 # 1 # ID=33342_1;partial=01;start_type=ATG;rbs_motif=TAA;rbs_spacer=5bp;gc_cont=0.417	WP_069214019.1	gb|WP_069214019.1|BlaB-23 [Elizabethkingia meningoseptica]	NZ_JBJDJZ010000007.1	NA	ACKJJY_RS15170	WP_069214019.1
k141_2859275_1 # 92 # 643 # 1 # ID=37213_1;partial=01;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.674	AKQ05896.1	gb|AKQ05896.1|tet(52) [uncultured bacterium]	KR857686.1	tet(52)	NA	AKQ05896.1
k141_1430341_2 # 181 # 339 # 1 # ID=37270_2;partial=01;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.553	AAB23649.1	gb|AAB23649.1|Vibrio anguillarum chloramphenicol acetyltransferase [Vibrio anguillarum]	S48276.1	cat	NA	AAB23649.1
k141_1162342_1 # 61 # 282 # 1 # ID=37462_1;partial=01;start_type=ATG;rbs_motif=TATAA;rbs_spacer=3bp;gc_cont=0.288	AAA16527.1	gb|AAA16527.1|ANT(9)-Ib [Enterococcus faecalis]	M69221.1	aad9	NA	AAA16527.1
k141_1162351_1 # 2 # 223 # 1 # ID=37793_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.293	AAA16527.1	gb|AAA16527.1|ANT(9)-Ib [Enterococcus faecalis]	M69221.1	aad9	NA	AAA16527.1
k141_2680577_1 # 2 # 280 # -1 # ID=38200_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.459	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_715849_1 # 3 # 116 # -1 # ID=38333_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.535	ENV82218.1	gb|ENV82218.1|OXA-299 [Acinetobacter bouvetii DSM 14964 = CIP 107468]	KB849727.1	NA	NA	NA
k141_269401_1 # 214 # 279 # 1 # ID=38963_1;partial=01;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=3-4bp;gc_cont=0.727	APB03224.1	gb|APB03224.1|cpaA [Paenibacillus sp. LC231]	KX531054.1	cpaA	NA	APB03224.1
k141_90624_1 # 1 # 282 # -1 # ID=38997_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.465	AAB36568.1	gb|AAB36568.1|cmlv [Streptomyces venezuelae ATCC 10712]	U09991.1	cmlv	NA	AAB36568.1
k141_715906_1 # 181 # 426 # 1 # ID=39647_1;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.654	AHH86051.1	gb|AHH86051.1|EdeQ [Brevibacillus brevis]	KC771276.1	edeQ	NA	AHH86051.1
k141_90689_1 # 3 # 80 # -1 # ID=41614_1;partial=10;start_type=ATG;rbs_motif=TAAA;rbs_spacer=8bp;gc_cont=0.308	GAP12525.1	gb|GAP12525.1|OXA-1089 [Longilinea arvoryzae]	DF967972.1	NA	NA	NA
k141_180190_1 # 3 # 134 # -1 # ID=42296_1;partial=10;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.439	WP_068791546.1	gb|WP_068791546.1|BlaB-6 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance]	NZ_JBJDKC010000012.1	NA	ACKJKV_RS17840	WP_068791546.1
k141_2770165_1 # 1 # 333 # -1 # ID=42468_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.408	WP_021361759.1	gb|WP_021361759.1|CDD-2 [Clostridioides difficile]	NZ_CP012324.1	NA	NA	NA
k141_1787893_1 # 2 # 79 # -1 # ID=42714_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.628	WP_043155783.1	gb|WP_043155783.1|MOX-12 [Aeromonas]	NZ_JBMHEH010000047.1	NA	ACOQOB_RS14180	WP_043155783.1
k141_2948775_1 # 1 # 228 # -1 # ID=42824_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.404	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_1339_1 # 3 # 95 # -1 # ID=43371_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.430	QHR93773.1	gb|QHR93773.1|FosL1 [Escherichia coli]	MN464149.1	fosL1	NA	QHR93773.1
k141_3037973_2 # 327 # 395 # 1 # ID=44778_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.667	WVW91709.1	gb|WVW91709.1|PAM-5 [Pseudomonas tohonis]	PP331844.1	blaPAM	NA	WVW91709.1
k141_1162673_1 # 2 # 379 # -1 # ID=45494_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.439	WP_007888761.1	gb|WP_007888761.1|CSA-1 [Cronobacter sakazakii]	NZ_DBJDLM010000169.1	NA	RA247_RS22025	WP_007888761.1
k141_626601_2 # 350 # 472 # 1 # ID=45963_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.390	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_1966615_1 # 175 # 321 # 1 # ID=47230_1;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.435	AGH88989.1	gb|AGH88989.1|BRP(MBL) [Acinetobacter baumannii]	KC503911.1	bleMBL	pNDM-AB_010	AGH88989.1
k141_626771_1 # 3 # 425 # 1 # ID=49616_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.338	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_1619_2 # 418 # 534 # 1 # ID=50059_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.453	CAA30578.1	gb|CAA30578.1|APH(3')-VIa [Acinetobacter baumannii]	X07753.1	NA	NA	CAA30578.1
k141_1341292_1 # 3 # 161 # -1 # ID=50938_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.314	WP_029834158.1	gb|WP_029834158.1|CARB-29 [Vibrio parahaemolyticus]	NG_048732.1	blaCARB	A7J11_03276	WP_029834158.1
k141_2502662_2 # 278 # 337 # 1 # ID=52026_2;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.367	CAD53575.1	gb|CAD53575.1|AAC(3)-Ic [Pseudomonas aeruginosa]	AJ511268.1	aac(3)-Ic	NA	CAD53575.1
k141_2681066_1 # 2 # 250 # -1 # ID=52479_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.257	WEG43791.1	gb|WEG43791.1|OXA-1186 [Citrobacter freundii]	OQ442837.1	blaOXA	NA	WEG43791.1
k141_1877362_1 # 1 # 75 # -1 # ID=53297_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.693	CAL25116.3	gb|CAL25116.3|ADC-8 [Acinetobacter baylyi ADP1]	AM293332.3	adc-8	NA	CAL25116.3
k141_1877418_1 # 77 # 319 # 1 # ID=54441_1;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.300	AAA25655.1	gb|AAA25655.1|catA4 [Proteus mirabilis]	M11587.1	NA	NA	AAA25655.1
k141_626915_1 # 356 # 433 # 1 # ID=54929_1;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.500	AHE40557.1	gb|AHE40557.1|ANT(6)-Ia [Exiguobacterium sp. S3-2]	KF648874.1	aadE	NA	AHE40557.1
k141_2234741_1 # 127 # 516 # 1 # ID=55992_1;partial=01;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.464	APB03222.1	gb|APB03222.1|rphB [Paenibacillus sp. LC231]	KX531052.1	rphB	NA	APB03222.1
k141_3038447_1 # 344 # 439 # 1 # ID=56389_1;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.448	AAX55643.1	gb|AAX55643.1|y56 beta-lactamase [Yersinia enterocolitica]	AY954728.1	blaA	NA	AAX55643.1
k141_2859874_1 # 2 # 418 # 1 # ID=57022_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.631	AAL68645.1	gb|AAL68645.1|catB9 [Vibrio cholerae]	AF462019.1	catB9	NA	AAL68645.1
k141_3038487_2 # 414 # 497 # 1 # ID=57352_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.655	WP_105620838.1	gb|WP_105620838.1|CMA-2 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance]	NZ_JAWIRI010000001.1	NA	NA	NA
k141_2770663_1 # 3 # 110 # -1 # ID=57586_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.222	APB03222.1	gb|APB03222.1|rphB [Paenibacillus sp. LC231]	KX531052.1	rphB	NA	APB03222.1
k141_1252385_1 # 2 # 109 # -1 # ID=58526_1;partial=10;start_type=ATG;rbs_motif=TAAA;rbs_spacer=8bp;gc_cont=0.241	ACL13298.1	gb|ACL13298.1|catB10 [Pseudomonas aeruginosa]	FJ495083.1	catB10	NA	ACL13298.1
k141_2502766_1 # 296 # 625 # 1 # ID=59677_1;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.400	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_1520344_1 # 1 # 495 # -1 # ID=60131_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.570	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_1788605_1 # 1 # 66 # -1 # ID=61178_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.303	WP_150378267.1	gb|WP_150378267.1|tet(X5) [Acinetobacter pittii]	NZ_CP183892.1	NA	ACLKM6_RS14325	WP_150378267.1
k141_359578_1 # 1 # 105 # -1 # ID=61710_1;partial=10;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.457	ACC85616.1	gb|ACC85616.1|FosA2 [Enterobacter cloacae]	EU487198.1	fosA2	NA	ACC85616.1
k141_2592259_2 # 286 # 405 # 1 # ID=63306_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.392	BAD89802.1	gb|BAD89802.1|IMP-21 [Pseudomonas aeruginosa]	AB204557.1	blaIMP-21	NA	BAD89802.1
k141_1788717_4 # 631 # 702 # 1 # ID=63699_4;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.556	WP_072678505.1	gb|WP_072678505.1|OXA-732 [Pseudomonas aeruginosa]	NZ_AP022282.1	NA	H7R74_RS21220	WP_072678505.1
k141_1074090_1 # 3 # 125 # -1 # ID=65231_1;partial=10;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.447	QAT79362.1	gb|QAT79362.1|IND-17 [Chryseobacterium sp.]	MK401904.1	blaIND	NA	QAT79362.1
k141_1967447_1 # 3 # 113 # -1 # ID=68554_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369	WP_148044415.1	gb|WP_148044415.1|IMP-81 [uncultured bacterium]	NG_065947.1	blaIMP	A7J11_06409	WP_148044415.1
k141_2860284_3 # 465 # 548 # 1 # ID=69030_3;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.548	QIM09823.1	gb|QIM09823.1|tet(X6) [Proteus genomosp. 6]	MN507533.1	tet(X)	NA	QIM09823.1
k141_2056480_1 # 1 # 96 # -1 # ID=70229_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.490	BAD08689.1	gb|BAD08689.1|GES-4 [Klebsiella pneumoniae]	AB116260.1	blaGES-4	NA	BAD08689.1
k141_1520750_2 # 158 # 247 # 1 # ID=70776_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.700	AGW16415.1	gb|AGW16415.1|OXA-333 [Acinetobacter johnsonii]	KF203107.1	blaOXA-333	NA	AGW16415.1
k141_359907_2 # 279 # 383 # 1 # ID=71452_2;partial=01;start_type=ATG;rbs_motif=GGTG;rbs_spacer=7bp;gc_cont=0.514	WP_063864599.1	gb|WP_063864599.1|PME-1 [Pseudomonas aeruginosa]	NZ_CM125796.1	NA	NA	NA
k141_1431529_1 # 2 # 97 # -1 # ID=73037_1;partial=10;start_type=ATG;rbs_motif=TAA;rbs_spacer=4bp;gc_cont=0.458	QHR93773.1	gb|QHR93773.1|FosL1 [Escherichia coli]	MN464149.1	fosL1	NA	QHR93773.1
k141_91704_1 # 236 # 367 # 1 # ID=74638_1;partial=01;start_type=ATG;rbs_motif=TAAA;rbs_spacer=14bp;gc_cont=0.417	QAT79362.1	gb|QAT79362.1|IND-17 [Chryseobacterium sp.]	MK401904.1	blaIND	NA	QAT79362.1
k141_270660_1 # 1 # 180 # -1 # ID=75477_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.400	WP_156404660.1	gb|WP_156404660.1|PFM-3 [Pseudomonas fluorescens]	NG_067161.1	blaPFM	A7J11_06587	WP_156404660.1
k141_3128753_2 # 270 # 335 # 1 # ID=76594_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.636	CAF05908.1	gb|CAF05908.1|GIM-1 [Pseudomonas aeruginosa]	AJ620678.1	blaGIM-1	NA	CAF05908.1
k141_1789122_1 # 3 # 92 # -1 # ID=76694_1;partial=10;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.689	UZZ47413.1	gb|UZZ47413.1|OXA-1178 [Acinetobacter baumannii]	OP895673.1	blaOXA	NA	UZZ47413.1
k141_1163740_1 # 3 # 203 # -1 # ID=76861_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.448	WP_085562410.1	gb|WP_085562410.1|OXA-556 [Acinetobacter baumannii]	NZ_JAPJUN010000001.1	NA	NA	NA
k141_1163776_1 # 1 # 468 # -1 # ID=77530_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.402	AAF86691.1	gb|AAF86691.1|ACC-2 [Hafnia alvei]	AF180952.1	acc-2	NA	AAF86691.1
k141_1431769_2 # 332 # 430 # 1 # ID=81215_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.424	ALK01319.1	gb|ALK01319.1|LEN-36 [Klebsiella variicola]	KR738738.1	blaLEN	NA	ALK01319.1
k141_2771634_1 # 91 # 444 # 1 # ID=81506_1;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.325	WP_005498292.1	gb|WP_005498292.1|CARB-30 [Vibrio parahaemolyticus]	NZ_LHQV01000015.1	NA	NA	NA
k141_1878389_1 # 1 # 96 # -1 # ID=82186_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.344	WP_072186106.1	gb|WP_072186106.1|RUB-1 [Serratia rubidaea]	NZ_CBIFXG010000009.1	NA	ACT15J_RS13950	WP_072186106.1
k141_2592952_2 # 265 # 384 # 1 # ID=82690_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.375	BAR80870.1	gb|BAR80870.1|IMP-52 [Escherichia coli]	LC055762.1	blaIMP-52	NA	BAR80870.1
k141_1253376_1 # 3 # 164 # -1 # ID=83076_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.667	ACH58985.1	gb|ACH58985.1|LRA-2 [uncultured bacterium BLR2]	EU408347.1	blaLRA-2	AKSOIL_0002	ACH58985.1
k141_2593003_1 # 2 # 115 # -1 # ID=83857_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.535	APB03218.1	gb|APB03218.1|BahA [Paenibacillus sp. LC231]	KX531048.1	bahA	NA	APB03218.1
k141_2503630_1 # 238 # 300 # 1 # ID=83858_1;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.492	AHE40557.1	gb|AHE40557.1|ANT(6)-Ia [Exiguobacterium sp. S3-2]	KF648874.1	aadE	NA	AHE40557.1
