Query_ID	CARD_Protein_Accession	CARD_Protein_Description	NCBI_Nucleotide_ID	CDS_Name	Locus_Tag	CDS_ID
k141_4894626_1 # 1 # 582 # -1 # ID=5899_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.460	AAB36568.1	gb|AAB36568.1|cmlv [Streptomyces venezuelae ATCC 10712]	U09991.1	cmlv	NA	AAB36568.1
k141_1223825_1 # 1 # 156 # -1 # ID=6809_1;partial=10;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.590	WP_114268491.1	gb|WP_114268491.1|OXA-926 [Klebsiella]	NZ_JAXBAV010000010.1	NA	ACMZTC_RS15780	WP_114268491.1
k141_1223831_1 # 1 # 156 # -1 # ID=6932_1;partial=10;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.596	WP_114268491.1	gb|WP_114268491.1|OXA-926 [Klebsiella]	NZ_JAXBAV010000010.1	NA	ACMZTC_RS15780	WP_114268491.1
k141_5419084_1 # 2 # 70 # -1 # ID=7091_1;partial=10;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.594	AKQ05899.1	gb|AKQ05899.1|tet(55) [uncultured bacterium]	KR857689.1	tet(55)	NA	AKQ05899.1
k141_5594009_1 # 2 # 106 # -1 # ID=9282_1;partial=10;start_type=ATG;rbs_motif=TAA;rbs_spacer=7bp;gc_cont=0.381	BAM62793.1	gb|BAM62793.1|IMP-42 [Acinetobacter soli]	AB753456.1	blaIMP-42	NA	BAM62793.1
k141_3146748_2 # 365 # 454 # 1 # ID=9751_2;partial=01;start_type=ATG;rbs_motif=AGxAG;rbs_spacer=5-10bp;gc_cont=0.678	BAA32493.1	gb|BAA32493.1|FomA [Streptomyces wedmorensis]	AB016934.1	fomA	NA	BAA32493.1
k141_5244427_1 # 1 # 117 # -1 # ID=9981_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.658	BAD90119.1	gb|BAD90119.1|CTX-M-63 [Klebsiella pneumoniae]	AB205197.1	blaCTX-M-63	NA	BAD90119.1
k141_5943637_1 # 2 # 271 # 1 # ID=10297_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.630	BDT38924.1	gb|BDT38924.1|FOX-21 [Aeromonas allosaccharophila]	LC733689.1	blaFOX	NA	BDT38924.1
k141_2972051_1 # 2 # 649 # -1 # ID=10304_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.519	WP_122630831.1	gb|WP_122630831.1|CRD3-1 [uncultured bacterium]	NG_062235.1	blaCRD3	A7J11_05897	WP_122630831.1
k141_2097957_1 # 3 # 89 # -1 # ID=10804_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.460	QIM09823.1	gb|QIM09823.1|tet(X6) [Proteus genomosp. 6]	MN507533.1	tet(X)	NA	QIM09823.1
k141_5069688_2 # 272 # 343 # 1 # ID=11622_2;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.222	AJP77071.1	gb|AJP77071.1|PEDO-2 [Pedobacter sp. ALS-14]	KP109678.1	blaPEDO-2	NA	AJP77071.1
k141_5419366_1 # 115 # 318 # 1 # ID=12198_1;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.250	UOF88498.1	gb|UOF88498.1|OXA-1108 [Aliarcobacter butzleri]	OM617734.1	blaOXA	NA	UOF88498.1
k141_5419384_1 # 2 # 202 # -1 # ID=12488_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.517	WP_099337823.1	gb|WP_099337823.1|OXA-568 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance]	NG_055785.1	blaOXA	A7J11_05225	WP_099337823.1
k141_4894896_3 # 484 # 603 # 1 # ID=13051_3;partial=01;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.292	WP_063859920.1	gb|WP_063859920.1|CSP-1 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance]	NG_048896.1	blaCSP	A7J11_02481	WP_063859920.1
k141_2797197_2 # 351 # 425 # 1 # ID=14665_2;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.587	AAN17791.1	gb|AAN17791.1|BUT-1 [Buttiauxella agrestis]	AF440406.1	NA	NA	AAN17791.1
k141_3671420_2 # 191 # 412 # 1 # ID=15326_2;partial=01;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.234	UOF88498.1	gb|UOF88498.1|OXA-1108 [Aliarcobacter butzleri]	OM617734.1	blaOXA	NA	UOF88498.1
k141_5069877_2 # 250 # 339 # 1 # ID=16629_2;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.400	AFC75523.1	gb|AFC75523.1|TEM-193 [Acinetobacter baumannii]	JN935135.1	NA	NA	AFC75523.1
k141_2447892_1 # 3 # 233 # 1 # ID=17263_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.446	RTB44598.1	gb|RTB44598.1|FosG [Pseudomonas aeruginosa]	RWWU01000174.1	fosG	EJ640_29285	RTB44598.1
k141_5419655_1 # 2 # 226 # 1 # ID=17711_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.262	WP_122630835.1	gb|WP_122630835.1|GRD23-1 [uncultured bacterium]	NG_062239.1	blaGRD23	A7J11_05901	WP_122630835.1
k141_350326_2 # 514 # 660 # 1 # ID=17862_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.701	WP_032062810.1	gb|WP_032062810.1|ADC-141 [Acinetobacter baumannii]	NG_064697.1	blaADC	A7J11_06164	WP_032062810.1
k141_4195832_1 # 2 # 304 # 1 # ID=18112_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.363	WP_029839920.1	gb|WP_029839920.1|CARB-28 [Vibrio parahaemolyticus]	NG_048731.1	blaCARB	A7J11_03277	WP_029839920.1
k141_816_2 # 319 # 390 # 1 # ID=18529_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.319	AAB36568.1	gb|AAB36568.1|cmlv [Streptomyces venezuelae ATCC 10712]	U09991.1	cmlv	NA	AAB36568.1
k141_1573849_2 # 126 # 215 # 1 # ID=19423_2;partial=01;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.444	QWA20180.1	gb|QWA20180.1|OXA-981 [Acinetobacter gerneri]	MZ265733.1	blaOXA	NA	QWA20180.1
k141_699921_1 # 1 # 420 # 1 # ID=19778_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.660	WP_047364854.1	gb|WP_047364854.1|ACT-70 [Enterobacter cloacae complex]	NZ_JBMDCH010000029.1	NA	ACRTSQ_RS19365	WP_047364854.1
k141_525166_2 # 755 # 925 # 1 # ID=19813_2;partial=01;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.608	APB03222.1	gb|APB03222.1|rphB [Paenibacillus sp. LC231]	KX531052.1	rphB	NA	APB03222.1
k141_4021167_1 # 3 # 113 # -1 # ID=21065_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.405	AAF86697.1	gb|AAF86697.1|ACC-3 [Hafnia alvei]	AF180958.1	acc-3	NA	AAF86697.1
k141_1573958_2 # 741 # 890 # 1 # ID=22573_2;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.447	QTE33800.1	gb|QTE33800.1|FosY [Staphylococcus aureus]	MN961674.1	fosY	NA	QTE33800.1
k141_700169_1 # 1 # 249 # -1 # ID=25263_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.502	WP_141989064.1	gb|WP_141989064.1|OXA-935 [Pseudomonas aeruginosa]	NZ_CP083367.1	NA	FLI66_RS32740	WP_141989064.1
k141_4895452_1 # 3 # 176 # -1 # ID=25846_1;partial=10;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.305	QWJ89343.1	gb|QWJ89343.1|OXA-957 [uncultured bacterium]	MZ126685.1	blaOXA	NA	QWJ89343.1
k141_3322203_1 # 2 # 148 # -1 # ID=26258_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.585	ADT70779.1	gb|ADT70779.1|OXA-198 [Pseudomonas aeruginosa]	HQ634775.2	blaOXA-198	NA	ADT70779.1
k141_3846578_1 # 1 # 219 # -1 # ID=26920_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.370	WP_068981642.1	gb|WP_068981642.1|OXA-527 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance]	NG_051477.1	blaOXA	A7J11_03798	WP_068981642.1
k141_5595076_1 # 2 # 70 # -1 # ID=30331_1;partial=10;start_type=TTG;rbs_motif=GGGT;rbs_spacer=10bp;gc_cont=0.638	WP_100507493.1	gb|WP_100507493.1|OXA-925 [Achromobacter ruhlandii]	NG_070187.1	blaOXA	A7J11_06823	WP_100507493.1
k141_5944638_1 # 1 # 303 # -1 # ID=31398_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.647	ERK40265.1	gb|ERK40265.1|nimI [Prevotella baroniae F0067]	AWEY01000007.1	nimB	HMPREF9135_0576	ERK40265.1
k141_2098679_1 # 3 # 65 # -1 # ID=32249_1;partial=10;start_type=ATG;rbs_motif=TAAA;rbs_spacer=13bp;gc_cont=0.333	WP_136512069.1	gb|WP_136512069.1|IMP-46 [Pseudomonas putida]	NG_064725.1	blaIMP	A7J11_06201	WP_136512069.1
k141_874829_2 # 457 # 588 # 1 # ID=33082_2;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.530	WP_150378267.1	gb|WP_150378267.1|tet(X5) [Acinetobacter pittii]	NZ_CP183892.1	NA	ACLKM6_RS14325	WP_150378267.1
k141_4895790_2 # 270 # 407 # 1 # ID=33254_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.500	ARB93503.1	gb|ARB93503.1|tet(56) [Legionella longbeachae]	CP020412.2	NA	A6J40_15560	ARB93503.1
k141_4895809_1 # 126 # 263 # 1 # ID=33503_1;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.500	ARB93503.1	gb|ARB93503.1|tet(56) [Legionella longbeachae]	CP020412.2	NA	A6J40_15560	ARB93503.1
k141_874847_1 # 3 # 95 # -1 # ID=33694_1;partial=10;start_type=ATG;rbs_motif=TAA;rbs_spacer=13bp;gc_cont=0.398	AAA25717.1	gb|AAA25717.1|ANT(4')-IIa [Pseudomonas aeruginosa]	M98270.1	ant(4')-IIa	NA	AAA25717.1
k141_4721042_1 # 1 # 213 # -1 # ID=34239_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.376	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_1574476_1 # 3 # 314 # 1 # ID=34286_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.663	ABU39980.1	gb|ABU39980.1|BCL-1 [Alkalihalobacillus clausii]	EF540343.1	bcl1	NA	ABU39980.1
k141_350973_1 # 3 # 392 # -1 # ID=35082_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.505	AAB36568.1	gb|AAB36568.1|cmlv [Streptomyces venezuelae ATCC 10712]	U09991.1	cmlv	NA	AAB36568.1
k141_2448610_2 # 518 # 607 # 1 # ID=35137_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.544	WP_032625176.1	gb|WP_032625176.1|ACT-66 [Enterobacter hormaechei]	NZ_JBAJUD010000041.1	NA	V6206_RS20870	WP_032625176.1
k141_4196532_2 # 269 # 397 # 1 # ID=37645_2;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.256	WP_051021433.1	gb|WP_051021433.1|LnuH [Riemerella anatipestifer RA-CH-2]	NZ_CP175957.1	NA	NA	NA
k141_2448749_1 # 3 # 185 # -1 # ID=37789_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.497	AHA80101.1	gb|AHA80101.1|CMY-100 [Citrobacter freundii]	KF526113.1	blaCMY-100	NA	AHA80101.1
k141_1749388_1 # 2 # 85 # -1 # ID=40442_1;partial=10;start_type=ATG;rbs_motif=TAA;rbs_spacer=11bp;gc_cont=0.250	USK11984.1	gb|USK11984.1|RAHN-4 [Rahnella aquatilis]	ON698183.1	blaRAHN	NA	USK11984.1
k141_2273803_1 # 2 # 82 # -1 # ID=40647_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.556	QVO43836.1	gb|QVO43836.1|OXA-962 [Shewanella indica]	MZ092829.1	blaOXA	NA	QVO43836.1
k141_351246_1 # 2 # 115 # -1 # ID=41657_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.544	WP_064808881.1	gb|WP_064808881.1|OXA-573 [Ralstonia insidiosa]	NZ_CP192491.1	NA	NA	NA
k141_1050188_2 # 368 # 559 # 1 # ID=42147_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.240	WP_063859570.1	gb|WP_063859570.1|CME-2 [Elizabethkingia meningoseptica]	NG_048765.1	blaCME	A7J11_01899	WP_063859570.1
k141_3672273_1 # 2 # 202 # -1 # ID=42772_1;partial=10;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.234	WP_060874262.1	gb|WP_060874262.1|MOC-1 [Myroides odoratus]	NG_051495.1	blaMOC	A7J11_03824	WP_060874262.1
k141_3672282_1 # 1 # 342 # 1 # ID=42887_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.675	QXW20276.1	gb|QXW20276.1|CAE-1 [Comamonas aquatica]	CP079746.1	bla	KXJ72_16960	QXW20276.1
k141_5071124_1 # 1 # 75 # -1 # ID=44080_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.467	WP_063865165.1	gb|WP_063865165.1|VHW-1 [Vibrio harveyi]	NG_050335.1	blaVHW	A7J11_00925	WP_063865165.1
k141_5945246_1 # 3 # 86 # -1 # ID=44967_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.238	WP_012662081.1	gb|WP_012662081.1|OXA-493 [Campylobacter]	NZ_CBCVQG010000005.1	NA	ACOBKY_RS01810	WP_012662081.1
k141_875328_1 # 2 # 73 # -1 # ID=45217_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.389	AJP77085.1	gb|AJP77085.1|ESP-1 [Chryseobacterium sp. Stok-2]	KP109681.1	blaESP-1	NA	AJP77085.1
k141_5420998_1 # 2 # 124 # -1 # ID=45307_1;partial=10;start_type=ATG;rbs_motif=AAAA;rbs_spacer=3bp;gc_cont=0.341	WLF01980.1	gb|WLF01980.1|OXA-1215 [Acinetobacter proteolyticus]	OR367337.1	blaOXA	NA	WLF01980.1
k141_2973486_1 # 248 # 337 # 1 # ID=46784_1;partial=01;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.733	QIM09823.1	gb|QIM09823.1|tet(X6) [Proteus genomosp. 6]	MN507533.1	tet(X)	NA	QIM09823.1
k141_5945394_1 # 2 # 61 # -1 # ID=47973_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400	AAA83417.1	gb|AAA83417.1|OXA-12 [Aeromonas sobria]	U10251.1	NA	NA	AAA83417.1
k141_1400336_1 # 471 # 581 # 1 # ID=48185_1;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.640	ENV34035.1	gb|ENV34035.1|APH(3')-IXa [Acinetobacter gerneri DSM 14967 = CIP 107464 = MTCC 9824]	KB849542.1	NA	F960_01725	ENV34035.1
k141_2973591_1 # 327 # 422 # 1 # ID=48789_1;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.417	AAA26683.1	gb|AAA26683.1|vatA [Staphylococcus aureus]	L07778.1	vat	NA	AAA26683.1
k141_5421159_1 # 1 # 408 # -1 # ID=49115_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.647	UKC75978.1	gb|UKC75978.1|OXA-1056 [Pseudomonas aeruginosa]	OM460738.1	blaOXA	NA	UKC75978.1
k141_4721567_1 # 1 # 93 # -1 # ID=52448_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.731	AAP97895.1	gb|AAP97895.1|blaS1 [Mycolicibacterium smegmatis MC2 155]	AY332268.1	blaS	NA	AAP97895.1
k141_1987_1 # 1 # 759 # 1 # ID=53082_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.619	CAB89086.1	gb|CAB89086.1|FOX-4 [Escherichia coli]	AJ277535.1	fox-4	NA	CAB89086.1
k141_2033_2 # 372 # 443 # 1 # ID=54273_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.472	AAL55262.1	gb|AAL55262.1|CGA-1 [Chryseobacterium gleum]	AF339733.1	NA	NA	AAL55262.1
k141_4197242_2 # 364 # 456 # 1 # ID=54345_2;partial=01;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.301	WP_099337823.1	gb|WP_099337823.1|OXA-568 [Bacteria, Viruses, Fungi, and other genome sequence associated with antimicrobial resistance]	NG_055785.1	blaOXA	A7J11_05225	WP_099337823.1
k141_875667_1 # 234 # 326 # 1 # ID=54649_1;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.527	EPF70268.1	gb|EPF70268.1|OXA-665 [Acinetobacter rudis CIP 110305]	KE340355.1	NA	F945_03287	EPF70268.1
k141_5421443_1 # 226 # 309 # 1 # ID=55260_1;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.524	AFH36331.1	gb|AFH36331.1|OXA-237 [Acinetobacter baumannii]	JQ820241.1	blaOXA-237	NA	AFH36331.1
k141_2973936_1 # 169 # 297 # 1 # ID=56460_1;partial=01;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.411	AAC14693.1	gb|AAC14693.1|APH(2'')-IVa [Enterococcus casseliflavus]	AF016483.1	aph(2'')-Id	NA	AAC14693.1
k141_3498023_2 # 190 # 282 # 1 # ID=57306_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.710	AIM47096.1	gb|AIM47096.1|OXA-404 [Acinetobacter baumannii]	KJ920338.1	NA	NA	AIM47096.1
k141_2974057_1 # 2 # 106 # -1 # ID=59226_1;partial=10;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.457	WP_032491875.1	gb|WP_032491875.1|KLUC-2 [Enterobacter cloacae]	NZ_VKGH01000002.1	NA	FN730_RS03520	WP_032491875.1
k141_4896852_1 # 1 # 126 # -1 # ID=59689_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.413	QBQ69719.1	gb|QBQ69719.1|tet(X4) [Escherichia coli]	MK134376.1	tetX	NA	QBQ69719.1
k141_1750203_1 # 3 # 470 # -1 # ID=60957_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.464	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_4372306_1 # 3 # 113 # -1 # ID=61659_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.613	AAB49832.1	gb|AAB49832.1|APH(2'')-IIIa [Enterococcus gallinarum]	U51479.1	NA	NA	AAB49832.1
k141_3323459_2 # 284 # 460 # 1 # ID=62031_2;partial=01;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.605	ACH58991.1	gb|ACH58991.1|LRA-13 [uncultured bacterium BLR13]	EU408352.1	blaLRA-13	AKSOIL_0007	ACH58991.1
k141_3847906_1 # 2 # 61 # -1 # ID=62180_1;partial=10;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.283	WP_064483990.1	gb|WP_064483990.1|OXA-496 [Acinetobacter lwoffii]	NG_050781.1	blaOXA	A7J11_03704	WP_064483990.1
k141_2624462_1 # 1 # 165 # -1 # ID=62264_1;partial=10;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.588	AWX35642.1	gb|AWX35642.1|CFE-2 [Citrobacter freundii]	MF543129.1	ampC	NA	AWX35642.1
k141_4197633_1 # 3 # 272 # -1 # ID=63528_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.456	WLO97151.1	gb|WLO97151.1|ACT-121 [Enterobacter hormaechei]	OR398188.1	blaACT	NA	WLO97151.1
k141_2974283_1 # 2 # 202 # 1 # ID=63686_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.632	APB03222.1	gb|APB03222.1|rphB [Paenibacillus sp. LC231]	KX531052.1	rphB	NA	APB03222.1
k141_2449832_2 # 455 # 514 # 1 # ID=65530_2;partial=01;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.517	WP_021361759.1	gb|WP_021361759.1|CDD-2 [Clostridioides difficile]	NZ_CP012324.1	NA	NA	NA
k141_1401213_1 # 2 # 73 # -1 # ID=66613_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.639	WP_150378267.1	gb|WP_150378267.1|tet(X5) [Acinetobacter pittii]	NZ_CP183892.1	NA	ACLKM6_RS14325	WP_150378267.1
k141_3848167_2 # 387 # 470 # 1 # ID=67940_2;partial=01;start_type=ATG;rbs_motif=AAAAA;rbs_spacer=11bp;gc_cont=0.226	BES62776.2	gb|BES62776.2|DYB-1 [Dysgonomonas capnocytophagoides]	AP028867.1	bla2	DCPSUM001_30200	BES62776.2
k141_2274983_1 # 1 # 531 # -1 # ID=68846_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.618	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_876293_2 # 343 # 537 # 1 # ID=69461_2;partial=01;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.692	AAA19882.1	gb|AAA19882.1|blaF [Mycolicibacterium fortuitum]	L25634.1	blaF	NA	AAA19882.1
k141_2624755_1 # 3 # 176 # -1 # ID=70163_1;partial=10;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.586	AEO25219.1	gb|AEO25219.1|lin [Listeria monocytogenes FSL R2-561]	CP002003.1	NA	LMKG_02372	AEO25219.1
k141_527057_1 # 3 # 128 # -1 # ID=70575_1;partial=10;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.500	CAC17623.1	gb|CAC17623.1|OCH-3 [Brucella anthropi]	AJ295341.1	bla OCH-3	NA	CAC17623.1
k141_3323835_1 # 2 # 598 # -1 # ID=71838_1;partial=11;start_type=Edge;rbs_motif=None;rbs_spacer=None;gc_cont=0.595	AAB36568.1	gb|AAB36568.1|cmlv [Streptomyces venezuelae ATCC 10712]	U09991.1	cmlv	NA	AAB36568.1
