user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
binning_output.012	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter acticola	GCF_013177675.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter acticola	98.35	0.546	GCF_013177675.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter acticola	98.35	0.546	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017996075.1, s__Aliarcobacter sp017996075, 95.0, 92.69, 0.209; GCF_014352935.1, s__Aliarcobacter cryaerophilus_A, 95.09, 89.66, 0.207; GCF_003660105.1, s__Aliarcobacter cryaerophilus, 95.0, 88.21, 0.186; GCF_002993025.1, s__Aliarcobacter cryaerophilus_B, 95.0, 87.95, 0.189; GCA_018816105.1, s__Aliarcobacter sp018816105, 95.0, 87.74, 0.314; GCA_017995775.1, s__Aliarcobacter sp017995775, 95.0, 85.34, 0.22; GCF_013201665.1, s__Aliarcobacter venerupis, 95.0, 84.97, 0.2; GCA_028703945.1, s__Aliarcobacter sp028703945, 95.0, 84.91, 0.198; GCF_003063245.1, s__Aliarcobacter caeni, 95.0, 84.89, 0.216; GCF_003544915.1, s__Aliarcobacter ellisii, 95.0, 84.83, 0.189; GCA_028690445.1, s__Aliarcobacter sp028690445, 95.0, 84.78, 0.192; GCF_003544815.1, s__Aliarcobacter suis, 95.0, 84.71, 0.19; GCA_028689025.1, s__Aliarcobacter sp028689025, 95.0, 84.56, 0.189; GCA_028688995.1, s__Aliarcobacter sp028688995, 95.0, 84.44, 0.175; GCF_013201935.1, s__Aliarcobacter cloacae, 95.0, 84.39, 0.173; GCA_028681275.1, s__Aliarcobacter sp028681275, 95.0, 84.29, 0.212; GCF_013177635.1, s__Aliarcobacter aquimarinus, 95.0, 84.09, 0.177; GCF_013201725.1, s__Aliarcobacter defluvii, 95.0, 83.98, 0.166; GCA_019752775.1, s__Aliarcobacter sp019752775, 95.0, 83.39, 0.167	34.4	11	N/A	Genome has more than 21.7% of markers with multiple hits
binning_output.013	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Tolumonas;s__Tolumonas auensis	GCF_000023065.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Tolumonas;s__Tolumonas auensis	98.05	0.858	GCF_000023065.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Tolumonas;s__Tolumonas auensis	98.05	0.858	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Tolumonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_014202415.1, s__Tolumonas osonensis, 95.0, 86.13, 0.539; GCA_903931645.1, s__Tolumonas sp903931645, 95.0, 85.75, 0.212; GCA_937866945.1, s__Tolumonas sp937866945, 95.0, 84.25, 0.282; GCA_028683735.1, s__Tolumonas sp028683735, 95.0, 84.04, 0.271; GCF_000527035.1, s__Tolumonas lignilytica, 95.0, 82.95, 0.278; GCA_008015085.1, s__Tolumonas sp008015085, 95.0, 81.66, 0.184	70.53	11	N/A	Genome has more than 23.3% of markers with multiple hits
binning_output.014	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens	GCF_000428125.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens	98.3	0.531	GCF_000428125.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens	98.3	0.531	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	48.54	11	N/A	Genome has more than 26.7% of markers with multiple hits
binning_output.015	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__	N/A	N/A	N/A	N/A	N/A	GCF_000819785.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas caviae	96.25	0.441	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_000819985.1, s__Aeromonas media, 95.0, 93.94, 0.441; GCF_023093515.1, s__Aeromonas sp023093515, 95.0, 92.18, 0.431; GCF_010974825.1, s__Aeromonas rivipollensis, 95.0, 91.91, 0.413; GCF_000820165.1, s__Aeromonas taiwanensis, 95.0, 90.78, 0.393; GCF_000820085.1, s__Aeromonas sanarellii, 95.0, 90.55, 0.409; GCF_000014805.1, s__Aeromonas hydrophila, 95.0, 89.81, 0.335; GCF_000820305.1, s__Aeromonas dhakensis, 95.0, 89.63, 0.331; GCF_900637545.1, s__Aeromonas encheleia, 95.0, 89.58, 0.347; GCF_000764655.1, s__Aeromonas aquatica, 95.0, 89.54, 0.334; GCF_002812985.1, s__Aeromonas lusitana, 95.0, 89.3, 0.332; GCF_000819865.1, s__Aeromonas eucrenophila, 95.0, 89.04, 0.335; GCF_000819745.1, s__Aeromonas bestiarum, 95.0, 88.94, 0.303; GCF_000820185.1, s__Aeromonas tecta, 95.0, 88.82, 0.314; GCF_000820005.1, s__Aeromonas piscicola, 95.26, 88.8, 0.298; GCF_001643305.1, s__Aeromonas salmonicida, 95.0, 88.09, 0.281; GCF_000819685.1, s__Aeromonas allosaccharophila, 95.0, 87.87, 0.242; GCF_000820225.1, s__Aeromonas veronii, 95.0, 87.78, 0.232; GCF_000819765.1, s__Aeromonas bivalvium, 95.0, 87.76, 0.23; GCF_000819845.1, s__Aeromonas enteropelogenes, 95.0, 87.74, 0.236; GCF_000820025.1, s__Aeromonas popoffii, 95.0, 87.71, 0.261; GCF_019048265.1, s__Aeromonas veronii_A, 95.0, 87.58, 0.232; GCF_000764645.1, s__Aeromonas finlandensis, 95.0, 87.49, 0.225; GCF_000819955.1, s__Aeromonas jandaei, 95.64, 87.46, 0.226; GCF_000819725.1, s__Aeromonas australiensis, 95.0, 87.32, 0.2; GCF_000764665.1, s__Aeromonas lacus, 95.0, 87.26, 0.233; GCF_000819885.1, s__Aeromonas fluvialis, 95.0, 87.15, 0.202; GCA_945957575.1, s__Aeromonas sp945957575, 95.0, 86.95, 0.182; GCF_006243315.1, s__Aeromonas sobria_A, 95.0, 86.94, 0.212; GCF_000820145.1, s__Aeromonas sobria, 95.0, 86.9, 0.21; GCF_000820045.1, s__Aeromonas rivuli, 95.0, 86.3, 0.171	30.35	11	0.99679	Genome has more than 38.3% of markers with multiple hits
binning_output.016	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	18.85	11	0.98274	N/A
binning_output.017	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas denitrificans_A	GCF_017368815.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas denitrificans_A	97.94	0.648	GCF_017368815.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas denitrificans_A	97.94	0.648	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_902175065.1, s__Comamonas sp902175065, 95.0, 85.57, 0.238; GCA_019104825.1, s__Comamonas sp019104825, 95.0, 83.89, 0.16	39.23	11	N/A	Genome has more than 20.8% of markers with multiple hits
binning_output.018	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_013177675.1	95.0	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter acticola	94.61	0.226	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_028681275.1, s__Aliarcobacter sp028681275, 95.0, 85.17, 0.15	18.81	11	0.98432	N/A
binning_output.019	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Roseivirga;s__Roseivirga sp002786855	GCA_002786855.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Roseivirga;s__Roseivirga sp002786855	96.16	0.809	GCA_002786855.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Roseivirga;s__Roseivirga sp002786855	96.16	0.809	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Roseivirga;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	63.95	11	N/A	N/A
binning_output.020	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	20.26	11	0.85625	N/A
binning_output.021	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__Giesbergeria metamorpha	GCF_004341365.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__Giesbergeria metamorpha	98.26	0.673	GCF_004341365.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__Giesbergeria metamorpha	98.26	0.673	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	27.33	11	N/A	N/A
binning_output.022	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	N/A	N/A	N/A	N/A	N/A	GCF_000368045.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	94.97	0.528	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_002165305.2, s__Acinetobacter sp002165305, 95.0, 92.75, 0.442; GCF_002135205.1, s__Acinetobacter sp002135205, 95.0, 91.36, 0.276	13.62	11	0.99845	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
binning_output.023	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas media	GCF_000819985.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonas media	95.09	0.546	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Aeromonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_000819985.1, s__Aeromonas media, 95.0, 95.09, 0.546; GCF_000819785.1, s__Aeromonas caviae, 95.0, 94.85, 0.548; GCF_023093515.1, s__Aeromonas sp023093515, 95.0, 92.8, 0.519; GCF_010974825.1, s__Aeromonas rivipollensis, 95.0, 92.31, 0.519; GCF_000820085.1, s__Aeromonas sanarellii, 95.0, 90.55, 0.515; GCF_000820165.1, s__Aeromonas taiwanensis, 95.0, 89.67, 0.48; GCF_000014805.1, s__Aeromonas hydrophila, 95.0, 89.36, 0.365; GCF_900637545.1, s__Aeromonas encheleia, 95.0, 89.2, 0.377; GCF_000820305.1, s__Aeromonas dhakensis, 95.0, 89.19, 0.356; GCF_000764655.1, s__Aeromonas aquatica, 95.0, 89.02, 0.372; GCF_000819865.1, s__Aeromonas eucrenophila, 95.0, 88.75, 0.37; GCF_000819745.1, s__Aeromonas bestiarum, 95.0, 88.74, 0.332; GCF_000819765.1, s__Aeromonas bivalvium, 95.0, 88.53, 0.277; GCF_002812985.1, s__Aeromonas lusitana, 95.0, 88.49, 0.345; GCF_000820005.1, s__Aeromonas piscicola, 95.26, 88.37, 0.302; GCF_000820185.1, s__Aeromonas tecta, 95.0, 88.21, 0.307; GCF_001643305.1, s__Aeromonas salmonicida, 95.0, 87.98, 0.264; GCF_000819685.1, s__Aeromonas allosaccharophila, 95.0, 87.77, 0.22; GCF_000820025.1, s__Aeromonas popoffii, 95.0, 87.76, 0.252; GCF_000820225.1, s__Aeromonas veronii, 95.0, 87.41, 0.224; GCF_019048265.1, s__Aeromonas veronii_A, 95.0, 87.34, 0.218; GCF_000764645.1, s__Aeromonas finlandensis, 95.0, 87.3, 0.206; GCF_000819845.1, s__Aeromonas enteropelogenes, 95.0, 87.26, 0.231; GCF_000819955.1, s__Aeromonas jandaei, 95.64, 87.18, 0.206; GCF_000819885.1, s__Aeromonas fluvialis, 95.0, 86.98, 0.218; GCF_000819725.1, s__Aeromonas australiensis, 95.0, 86.96, 0.217; GCF_000764665.1, s__Aeromonas lacus, 95.0, 86.93, 0.215; GCA_945957575.1, s__Aeromonas sp945957575, 95.0, 86.86, 0.225; GCF_006243315.1, s__Aeromonas sobria_A, 95.0, 86.82, 0.182; GCF_000820145.1, s__Aeromonas sobria, 95.0, 86.81, 0.187; GCF_000820045.1, s__Aeromonas rivuli, 95.0, 86.57, 0.158	11.02	11	N/A	Genome has more than 15.0% of markers with multiple hits
binning_output.024	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Roseivirga;s__Roseivirga sp002786855	GCA_002786855.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Roseivirga;s__Roseivirga sp002786855	95.51	0.756	GCA_002786855.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Roseivirga;s__Roseivirga sp002786855	95.51	0.756	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cyclobacteriaceae;g__Roseivirga;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	32.15	11	N/A	N/A
binning_output.025	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	24.87	11	0.4964	Genome has more than 18.3% of markers with multiple hits
